ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
25	20	70	0	0	29.28	23.09	22.83	55.16	29.36	-7.64
26	20	85	0	0	27.84	21.05	20.74	53	33.06	-7.25
27	20	100	0	0	26.81	19.6	19.18	51.39	35.87	-6.8
28	30	0	0	0	41.75	46.95	46.02	74.16	-10.35	-9.2
29	30	10	0	0	38.33	41.05	41	70.21	-3.96	-9.79
30	30	20	0	0	35.23	35.84	36.54	66.4	2.28	-10.4
31	30	30	0	0	32.66	31.67	32.85	63.07	7.72	-10.83
32	30	40	0	0	30.39	28.09	29.59	59.97	12.79	-11.11
33	30	55	0	0	27.74	24.03	25.66	56.12	19.21	-11.17
34	30	70	0	0	25.81	21.17	22.73	53.13	24.28	-10.96
35	30	85	0	0	24.58	19.37	20.77	51.12	27.74	-10.56
36	30	100	0	0	23.69	18.09	19.27	49.6	30.4	-10.06
37	40	0	0	0	36.47	42.2	44.78	71.01	-13.43	-13.13
38	40	10	0	0	33.6	37.06	39.96	67.32	-7.29	-13.41
39	40	20	0	0	30.94	32.45	35.74	63.72	-1.28	-13.89
40	40	30	0	0	28.76	28.78	32.22	60.59	3.95	-14.14
41	40	40	0	0	26.85	25.66	29.11	57.71	8.79	-14.24
42	40	55	0	0	24.58	22.06	25.38	54.09	14.94	-14.17
43	40	70	0	0	22.92	19.52	22.61	51.29	19.72	-13.91
44	40	85	0	0	21.86	17.92	20.73	49.4	22.99	-13.45
45	40	100	0	0	21.1	16.79	19.33	48	25.45	-12.96
46	55	0	0	0	30.51	36.68	43.14	67.04	-17.2	-17.96
47	55	10	0	0	28.22	32.36	38.61	63.64	-11.33	-17.97
48	55	20	0	0	26.1	28.52	34.67	60.36	-5.66	-18.16
49	55	30	0	0	24.36	25.43	31.37	57.49	-0.69	-18.18
50	55	40	0	0	22.84	22.8	28.46	54.87	3.9	-18.08
51	55	55	0	0	21	19.76	24.99	51.57	9.6	-17.82
52	55	70	0	0	19.63	17.58	22.39	48.99	14.04	-17.44
53	55	85	0	0	18.76	16.23	20.66	47.28	16.98	-16.96
54	55	100	0	0	18.13	15.28	19.36	46.01	19.19	-16.46
55	70	0	0	0	26.04	32.39	41.69	63.67	-20.2	-21.95
56	70	10	0	0	24.23	28.79	37.46	60.6	-14.63	-21.66
57	70	20	0	0	22.5	25.5	33.74	57.56	-9.24	-21.63
58	70	30	0	0	21.11	22.9	30.64	54.97	-4.52	-21.41
59	70	40	0	0	19.88	20.64	27.9	52.56	-0.14	-21.14
60	70	55	0	0	18.34	18.01	24.63	49.51	5.19	-20.73
61	70	70	0	0	17.19	16.13	22.2	47.14	9.26	-20.26
62	70	85	0	0	16.46	14.96	20.58	45.57	11.96	-19.75
63	70	100	0	0	15.92	14.11	19.37	44.39	13.96	-19.26
64	85	0	0	0	23.02	29.41	40.56	61.14	-22.33	-24.85
65	85	10	0	0	21.49	26.26	36.54	58.28	-17	-24.39
66	85	20	0	0	20.05	23.38	32.99	55.47	-11.84	-24.13
67	85	30	0	0	18.88	21.1	30.04	53.06	-7.31	-23.76
68	85	40	0	0	17.84	19.12	27.44	50.82	-3.13	-23.37
69	85	55	0	0	16.55	16.81	24.35	48.02	1.91	-22.79
70	85	70	0	0	15.56	15.14	22.04	45.82	5.77	-22.22
71	85	85	0	0	14.92	14.09	20.52	44.36	8.24	-21.7
72	85	100	0	0	14.44	13.34	19.37	43.26	10.07	-21.2
73	100	0	0	0	20.79	27.15	39.6	59.11	-23.94	-27.1
74	100	10	0	0	19.46	24.32	35.76	56.41	-18.82	-26.53
75	100	20	0	0	18.23	21.78	32.36	53.8	-13.86	-26.07
76	100	30	0	0	17.22	19.72	29.54	51.52	-9.47	-25.61
77	100	40	0	0	16.33	17.95	27.05	49.44	-5.45	-25.09
78	100	55	0	0	15.21	15.88	24.09	46.82	-0.63	-24.39
79	100	70	0	0	14.36	14.39	21.89	44.79	3.03	-23.71
80	100	85	0	0	13.79	13.44	20.43	43.42	5.35	-23.15
81	100	100	0	0	13.36	12.77	19.37	42.41	6.99	-22.67
82	0	0	10	0	62.46	64.75	42.02	84.35	0.08	13.3
83	0	10	10	0	56.99	56.12	37.64	79.68	7.2	11
84	0	20	10	0	51.99	48.46	33.43	75.11	14.25	9.09
85	0	30	10	0	47.97	42.43	30.03	71.17	20.49	7.47
86	0	40	10	0	44.47	37.33	26.98	67.53	26.29	6.22
87	0	55	10	0	40.43	31.57	23.28	62.99	33.79	5.01
88	0	70	10	0	37.48	27.51	20.5	59.44	39.73	4.34
89	0	85	10	0	35.6	24.97	18.57	57.04	43.86	4.26
90	0	100	10	0	34.28	23.19	17.11	55.27	47	4.5
91	10	0	10	0	53.94	57.59	40.89	80.51	-4.01	8.11
92	10	10	10	0	49.43	50.16	36.68	76.17	2.88	6.26
